TEAM,,,,AvgRank
TB,1,2,1,1.333333333
LAC,1,2,2,1.666666667
PHI,1,1,5,2.333333333
KC,2,1,5,2.666666667
NE,2,3,2,2.333333333
ARI,2,2,3,2.333333333
LAR,3,4,2,3
JAC,3,4,3,3.333333333
DAL,3,4,3,3.333333333
GB,3,4,3,3.333333333
BUF,3,4,4,3.666666667
PIT,4,5,2,3.666666667
CLE,4,3,6,4.333333333
DEN,4,4,5,4.333333333
DET,4,3,5,4
MIN,4,3,4,3.666666667
SF,4,3,5,4
WAS,4,4,6,4.666666667
NYG,4,6,3,4.333333333
MIA,4,5,4,4.333333333
BAL,4,2,7,4.333333333
CAR,4,5,4,4.333333333
IND,5,3,7,5
SEA,5,4,6,5
CIN,5,6,4,5
LV,5,4,7,5.333333333
NO,5,5,6,5.333333333
NYJ,6,3,7,5.333333333
TEN,6,3,7,5.333333333
ATL,6,3,7,5.333333333
CHI,6,3,7,5.333333333
HOU,7,7,,7
