RANK,TEAM,OPP. RECORD (2021),OPP. WINNING % (2021),FBRank
1,LA Rams,164-125-0,0.567,1
2,Arizona Cardinals,157-132-0,0.543,2
3,Cincinnati Bengals,154-133-2,0.536,3
4,Tampa Bay Buccaneers,154-134-1,0.535,4
T-5,San Francisco 49ers,154-135-0,0.533,5
T-5,Kansas City Chiefs,154-135-0,0.533,5
T-7,Las Vegas Raiders,152-136-1,0.528,7
T-7,New Orleans Saints,152-136-1,0.528,7
9,Atlanta Falcons,151-137-1,0.524,9
10,LA Chargers,150-139-0,0.519,10
11,Seattle Seahawks,149-139-1,0.517,11
T-12,Pittsburgh Steelers,148-141-0,0.512,12
T-12,Carolina Panthers,147-140-2,0.512,12
T-12,Buffalo Bills,147-140-2,0.512,12
15,Denver Broncos,147-142-0,0.509,15
16,New England Patriots,143-144-2,0.498,16
T-17,New York Jets,142-145-2,0.495,17
T-17,Cleveland Browns,142-145-2,0.495,17
19,Houston Texans,141-148-0,0.488,19
20,Minnesota Vikings,139-148-2,0.484,20
21,Miami Dolphins,138-149-2,0.481,21
22,Green Bay Packers,137-150-2,0.478,22
23,Baltimore Ravens,136-151-2,0.474,23
T-24,Chicago Bears,135-152-2,0.471,24
T-24,Tennessee Titans,136-153-0,0.471,24
T-26,Jacksonville Jaguars,135-153-1,0.469,26
T-26,Indianapolis Colts,135-153-1,0.469,26
28,Detroit Lions,135-154-0,0.467,28
29,New York Giants,134-154-1,0.465,29
30,Philadelphia Eagles,133-154-2,0.464,30
T-31,Washington Commanders,133-155-1,0.462,31
T-31,Dallas Cowboys,133-155-1,0.462,31
