FantasyPros ECR Ranking,Name,Team,Position,QB Strength of Schedule Rank,RB Strength of Schedule Rank,WR Strength of Schedule Rank,DST Strength of Schedule Rank,Team Situation,Advice,,,,,,,,,,,,,,,,,
1,Jonathan Taylor,IND,RB,7,6,26,4,Neutral,Don't draft,,,,,,,,,,,,,,,,,
2,Christian McCaffrey,CAR,RB,31,20,16,18,Neutral,Don't draft,,,,,,,,,,,,,,,,,
3,Derrick Henry,TEN,RB,31,20,16,18,Bad,Don't draft,,,,,,,,,,,,,,,,,
4,Dalvin Cook,MIN,RB,9,12,25,20,Neutral,Draft him,,,,,,,,,,,,,,,,,
5,Austin Ekeler,LAC,RB,20,8,29,22,Good,Don't draft,,,,,,,,,,,,,,,,,
6,Joe Mixon,CIN,RB,25,10,11,25,Good,Draft him,,,,,,,,,,,,,,,,,
7,Najee Harris,PIT,RB,10,30,6,16,Neutral,Draft him,,,,,,,,,,,,,,,,,
8,Nick Chubb,CLE,RB,11,29,9,11,Neutral,,,,,,,,,,,,,,,,,,
9,Justin Jefferson,MIN,WR,29,9,5,27,Neutral,Draft him,,,,,,,,,,,,,,,,,
10,Cooper Kupp,LAR,WR,15,31,18,13,Good,,,,,,,,,,,,,,,,,,
11,Ja'Marr Chase,CIN,WR,27,18,7,26,Good,Draft him,,,,,,,,,,,,,,,,,
12,Travis Kelce,KC,TE,25,10,11,25,Good,Don't draft,,,,,,,,,,,,,,,,,
13,D'Andre Swift,DET,RB,18,23,15,19,Neutral,Don't draft,,,,,,,,,,,,,,,,,
14,Mark Andrews,BAL,TE,8,5,2,31,Neutral,,,,,,,,,,,,,,,,,,
15,Stefon Diggs,BUF,WR,4,19,21,5,Neutral,Draft him,,,,,,,,,,,,,,,,,
16,Davante Adams,LV,WR,23,7,4,21,Neutral,,,,,,,,,,,,,,,,,,
17,Alvin Kamara,NO,RB,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
18,Aaron Jones,GB,RB,9,12,25,20,Neutral,Don't draft,,,,,,,,,,,,,,,,,
19,Deebo Samuel,SF,WR,28,11,32,8,Neutral,,,,,,,,,,,,,,,,,,
20,CeeDee Lamb,DAL,WR,24,28,23,12,Neutral,Draft him,,,,,,,,,,,,,,,,,
21,Saquon Barkley,NYG,RB,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
22,Javonte Williams,DEN,RB,5,17,22,1,Neutral,,,,,,,,,,,,,,,,,,
23,Leonard Fournette,TB,RB,21,14,24,6,Good,,,,,,,,,,,,,,,,,,
24,Mike Evans,TB,WR,1,27,13,23,Good,,,,,,,,,,,,,,,,,,
25,Tyreek Hill,MIA,WR,30,26,14,10,Neutral,Draft him,,,,,,,,,,,,,,,,,
26,James Conner,ARI,RB,21,14,24,6,Neutral,,,,,,,,,,,,,,,,,,
27,A.J. Brown,PHI,WR,13,21,12,32,Neutral,Draft him,,,,,,,,,,,,,,,,,
28,Ezekiel Elliott,DAL,RB,10,30,6,16,Neutral,Don't draft,,,,,,,,,,,,,,,,,
29,Tee Higgins,CIN,WR,1,27,13,23,Good,Draft him,,,,,,,,,,,,,,,,,
30,Kyle Pitts,ATL,TE,27,18,7,26,Neutral,,,,,,,,,,,,,,,,,,
31,Josh Allen,BUF,QB,5,17,22,1,Neutral,Draft him,,,,,,,,,,,,,,,,,
32,Michael Pittman Jr.,IND,WR,19,16,20,9,Neutral,,,,,,,,,,,,,,,,,,
33,Keenan Allen,LAC,WR,32,3,31,3,Good,,,,,,,,,,,,,,,,,,
34,DJ Moore,CAR,WR,1,27,13,23,Neutral,Draft him,,,,,,,,,,,,,,,,,
35,Cam Akers,LAR,RB,14,32,17,30,Good,,,,,,,,,,,,,,,,,,
36,Mike Williams,LAC,WR,24,28,23,12,Good,Draft him,,,,,,,,,,,,,,,,,
37,Courtland Sutton,DEN,WR,22,13,30,15,Neutral,,,,,,,,,,,,,,,,,,
38,Breece Hall,NYJ,RB,27,18,7,26,Neutral,,,,,,,,,,,,,,,,,,
39,Terry McLaurin,WAS,WR,11,29,9,11,Neutral,Draft him,,,,,,,,,,,,,,,,,
40,David Montgomery,CHI,RB,23,7,4,21,Bad,Sleeper,,,,,,,,,,,,,,,,,
41,George Kittle,SF,TE,27,18,7,26,Neutral,Don't draft,,,,,,,,,,,,,,,,,
42,Diontae Johnson,PIT,WR,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
43,Elijah Mitchell,SF,RB,24,28,23,12,Neutral,,,,,,,,,,,,,,,,,,
44,DK Metcalf,SEA,WR,13,21,12,32,Neutral,,,,,,,,,,,,,,,,,,
45,Justin Herbert,LAC,QB,3,4,19,28,Good,,,,,,,,,,,,,,,,,,
