Team,Team,Rank,,
Philadelphia,PHI,1,,
Dallas,DAL,6,,
Pittsburgh,PIT,30,,
Tennessee,TEN,27,,
Indianapolis,IND,10,,
NE,NE,7,,
NO,NO,21,,
GB,GB,5,,
Chicago,CHI,31,,
Carolina,CAR,24,,
Baltimore,BAL,17,,
Denver,DEN,16,,
LAR,LAR,11,,
Washington,WAS,15,,
Detroit,DET,3,,
SF,SF,14,,
KC,KC,9,,
NYG,NYG,18,,
Buffalo,BUF,20,,
Cleveland,CLE,2,,
Jacksonville,JAC,26,,
Atlanta,ATL,28,,
Seattle,SEA,32,,
TB,TB,4,,
Minnesota,MIN,19,,
LV,LV,29,,
Cincinnati,CIN,8,,
NYJ,NYJ,13,,
LAC,LAC,12,,
Arizona,ARI,25,,
Houston,HOU,22,,
Miami,MIA,23,,
