RK,PLAYER NAME,Team,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP,PLAYER NAME,,POS,
1,Jonathan Taylor,IND,RB1,1,4,1.2,0.6,0,Jonathan Taylor,IND,RB1,RB
2,Christian McCaffrey,CAR,RB2,1,8,3.5,1.4,0,Christian McCaffrey,CAR,RB2,RB
3,Derrick Henry,TEN,RB3,1,12,3.6,2.1,2,Derrick Henry,TEN,RB3,RB
4,Dalvin Cook,MIN,RB4,2,9,4.2,1.7,4,Dalvin Cook,MIN,RB4,RB
5,Austin Ekeler,LAC,RB5,2,16,4.6,2.4,-2,Austin Ekeler,LAC,RB5,RB
6,Joe Mixon,CIN,RB6,2,21,6.9,2.9,4,Joe Mixon,CIN,RB6,RB
7,Najee Harris,PIT,RB7,2,26,7.9,4.3,0,Najee Harris,PIT,RB7,RB
8,Nick Chubb,CLE,RB8,5,40,9.9,5.1,7,Nick Chubb,CLE,RB8,RB
9,Justin Jefferson,MIN,WR1,4,17,11.5,2.5,-3,Justin Jefferson,MIN,WR1,WR
10,Cooper Kupp,LAR,WR2,3,23,11.8,2.8,-6,Cooper Kupp,LAR,WR2,WR
11,Ja'Marr Chase,CIN,WR3,7,28,12.8,3,-2,Ja'Marr Chase,CIN,WR3,WR
12,Travis Kelce,KC,TE1,11,20,13,3.1,1,Travis Kelce,KC,TE1,TE
13,D'Andre Swift,DET,RB9,7,57,17.4,9.7,-1,D'Andre Swift,DET,RB9,RB
14,Mark Andrews,BAL,TE2,11,32,17.6,3.9,9,Mark Andrews,BAL,TE2,TE
15,Stefon Diggs,BUF,WR4,9,24,17.6,3.1,-1,Stefon Diggs,BUF,WR4,WR
16,Davante Adams,LV,WR5,10,24,17.9,2.9,-5,Davante Adams,LV,WR5,WR
17,Alvin Kamara,NO,RB10,5,60,18.8,12.7,2,Alvin Kamara,NO,RB10,RB
18,Aaron Jones,GB,RB11,6,51,19.5,8.6,4,Aaron Jones,GB,RB11,RB
19,Deebo Samuel,SF,WR6,12,68,19.6,6.2,-2,Deebo Samuel,SF,WR6,WR
20,CeeDee Lamb,DAL,WR7,13,35,20.1,3.5,-2,CeeDee Lamb,DAL,WR7,WR
21,Saquon Barkley,NYG,RB12,5,51,20.4,10.6,-1,Saquon Barkley,NYG,RB12,RB
22,Javonte Williams,DEN,RB13,9,60,22.4,9.6,-6,Javonte Williams,DEN,RB13,RB
23,Leonard Fournette,TB,RB14,6,51,23.5,9.7,1,Leonard Fournette,TB,RB14,RB
24,Mike Evans,TB,WR8,16,43,24.1,4.1,3,Mike Evans,TB,WR8,WR
25,Tyreek Hill,MIA,WR9,16,45,25.8,4.5,-4,Tyreek Hill,MIA,WR9,WR
26,James Conner,ARI,RB15,8,60,28.5,11.9,6,James Conner,ARI,RB15,RB
27,A.J. Brown,PHI,WR10,22,55,29,5,-1,A.J. Brown,PHI,WR10,WR
28,Ezekiel Elliott,DAL,RB16,6,71,29.1,12.4,2,Ezekiel Elliott,DAL,RB16,RB
29,Tee Higgins,CIN,WR11,22,48,30.6,5.3,5,Tee Higgins,CIN,WR11,WR
30,Kyle Pitts,ATL,TE3,11,58,30.7,10.7,1,Kyle Pitts,ATL,TE3,TE
31,Josh Allen,BUF,QB1,25,38,34.2,1.6,-6,Josh Allen,BUF,QB1,QB
32,Michael Pittman Jr.,IND,WR12,23,94,35,10.2,9,Michael Pittman Jr.,IND,WR12,WR
33,Keenan Allen,LAC,WR13,24,67,35,7.2,-4,Keenan Allen,LAC,WR13,WR
34,DJ Moore,CAR,WR14,23,67,36.9,8.4,12,DJ Moore,CAR,WR14,WR
35,Cam Akers,LAR,RB17,9,89,38.9,13.8,-7,Cam Akers,LAR,RB17,RB
36,Mike Williams,LAC,WR15,25,85,39,9.4,14,Mike Williams,LAC,WR15,WR
37,Courtland Sutton,DEN,WR16,23,88,41.1,11,21,Courtland Sutton,DEN,WR16,WR
38,Breece Hall,NYJ,RB18,13,193,41.1,20.2,-1,Breece Hall,NYJ,RB18,RB
